Nom de la Recette,Ingredients,Puree Preparation,Duree Cuisson,Duree Repos,Etapes de Preparation,URL Recette,URL_Image,Ingredient_lem_token,Ingredient_stem_token
Meringues fantômes,3 blancs d’œufs (= 100 g)//100 g de sucre glace//100 g de sucre blanc//2 carrés de chocolat noir,30 min,1 h 30,30 min,"Préchauffer le four à 90°C.//Préparer la meringue. Battre les blancs en neige. Lorsqu’ils commencent à mousser, ajouter une cuillerée de sucre. Incorporer le sucre progressivement, cuillerée par cuillerée, en continuant de battre en augmentant la vitesse. Cessez de fouetter lorsque les blancs sont bien fermes.//Verser le tout dans une poche à douille lisse. Sur une plaque de cuisson, pochez les meringues en formant d’abord un premier tas (pour le corps du fantôme) en appuyant sur la poche, stopper puis sans bouger en faire un deuxième (pour la tête du fantôme) plus petit au-dessus. Recommencer ainsi pour chaque fantôme, en les espaçant sur la plaque.//Enfourner pour environ 1h30. Les meringues ne doivent pas colorer. À la fin de la cuisson, laisser les meringues continuer à sécher dans le four éteint, pourquoi pas toute une nuit. Laisser entièrement refroidir.//Une fois refroidies, faire fondre le chocolat délicatement, afin de dessiner les yeux et la bouche des fantômes avec un cure-dent enduit de chocolat fondu.",https://www.cuisine-libre.org/meringues-fantomes,https://www.cuisine-libre.org/local/cache-gd2/50/4f150e1acd9007d1f08f7fdc01bf3e.jpg?1644795462,chocolat glace œuf noir blanc sucre carré,chocolat glace noir blanc oeuf sucr carr
Gâteau de potiron au gingembre,250 g de potiron//125 g d’huile neutre//125 g de sucre non raffiné//2 œufs battus//125 g de farine blanche//125 g de farine complète//50 g de gingembre rapé//150 g de noix concassées//levure,20 min,1 h 30,,"Cuire le potiron à la vapeur et l’écraser en purée. Laisser refroidir.//Mélanger les farines, la levure et le sucre. Ajouter au potiron avec les œufs battus. Mélanger.//Allonger avec l’huile jusqu’à obtenir une pâte homogène puis incorporer le gingembre râpé et les noix concassées.//Remplir un moule à cake beurré et fariné et enfourner 1h30 à 160°C.",https://www.cuisine-libre.org/gateau-de-potiron-au-gingembre,https://www.cuisine-libre.org/local/cache-gd2/ec/dbdedcc7910a48c50fcede94b8ff7b.jpg?1667256859,neutre blanche farine œuf noix levure sucre concassée raffiné gingembre battu huile potiron complète non rapé,gingembr levur noix rape neutr oeuf battu blanch huil concasse complet potiron non raffin farin sucr
Biscuit au miel d’Ostara,100 g de miel//100 g de farine//50 g de beurre//⅔ d’un sachet de levure//1 œuf,15 min,45 min,,"Préchauffer le four à 150°C/300°F.//Beurrer un moule de 22 cm de diamètre. Tapisser de farine.//Mettre à chauffer le miel dans la casserole. Retirer lorsqu’il est tout juste tiède. Mélanger avec le beurre et l’œuf battu.//Mélanger la levure et la farine dans le chaudron.//Verser le mélange de miel, d’œuf et de beurre. Bien mélanger.//Verser la pâte dans le moule.//Enfourner et cuire 45 min.//Attendre 5 min avant de démouler sur une grille.",https://www.cuisine-libre.org/biscuit-au-miel-d-ostara,https://www.cuisine-libre.org/local/cache-gd2/63/2cdfbde45e634ec8fa69ef9d925a92.jpg?1644795048,œuf farine levure sachet beurre ⅔ miel,levur sachet oeuf beurr miel farin
Brownie betterave chocolat,1 tablette de 200 g de chocolat noir corsé//250 g de betteraves cuites mixées en purée//3 œufs//50 g de fécule de maïs//40 g de cacao amer en poudre//100 g de poudre d’amande//130 g de beurre demi sel fondu//140 g de sucre//1 sachet de sucre vanillé//1 sachet de levure chimique,30 min,30 min,,"Préchauffer le four à 180°C.//Faire fondre le beurre et le chocolat en morceaux au micro-ondes, bien mélanger.//Mélanger les œufs et le sucre et faire mousser.//Mélanger les 2 préparations.//Ajouter la purée de betterave, la fécule, la poudre d’amande, la poudre de cacao amer, le sucre vanille et la levure chimique. Bien mélanger.//Repartir la préparation dans un moule carré beurré. Enfourner et cuire pendant 30 à 35 min.//Laisser refroidir avant de démouler puis découper en carrés en parts égales.",https://www.cuisine-libre.org/brownie-betterave-chocolat,https://www.cuisine-libre.org/local/cache-gd2/3a/c863ff20d903f4a0a235905b47e00d.jpg?1644795642,fécule sachet demi amande œuf amer tablette beurre chocolat noir sucre mixée ao vanillé cuite sel levure chimique corsé maï purée poudre betterave,sachet demi chimiqu levur oeuf amer cuit cor vanil fecul chocolat mixe betterav tablett noir mai ao sel poudr pure beurr amand sucr
Brownie aux noix de macadamia,180 g de chocolat amer (75 % de cacao)//4 œufs//200 g de beurre mou//180-200 g de sucre//70 g de poudre d’amandes//60 g de farine//100 g de noix de macadamia//du miel pour enrober,30 min,15 min,,"Enrober les noix de miel, les disposer sur une plaque recouverte de papier sulfurisé. Faire dorer au four 5 minutes sous le gril, en les retournant une fois. Laisser refroidir.//Faire fondre le chocolat au bain-marie ou au four à micro-ondes. Travailler le beurre en pommade à la spatule. Mélanger avec le chocolat fondu.//Incorporer les œufs un à un au fouet. Ajouter le sucre, puis la poudre d’amandes et la farine. Incorporer délicatement les noix.//Tapisser un moule rectangulaire de papier sulfurisé. Verser la préparation et lisser. Cuire 15-20 minutes au four à 180°C. L’intérieur doit être juste cuit.//Laisser refroidir, démouler et découper de larges carrés irréguliers dans la masse.",https://www.cuisine-libre.org/brownie-aux-noix-de-macadamia,https://www.cuisine-libre.org/local/cache-gd2/95/3f6c5ee20ccf4f0e8fccfad708c89f.jpg?1644799936,chocolat miel farine œuf noix sucre amer macadamia amande enrober ao poudre beurre,chocolat poudr noix oeuf enrob amer macadamia beurr farin ao miel amand sucr
Tarte aux mirabelles,250 g de farine//20 g de sucre//75 g d’huile//75 g d’eau//1 kg de mirabelles,20 min,40 min,,"Dans un récipient, mélangez la farine et le sucre. Ajoutez l’huile et l’eau, puis mélangez le tout avec une cuillère, et terminez de pétrir la pâte à la main si besoin.//Étalez la pâte sur du papier cuisson et posez-la sur votre plat à tarte. Faites des petits trous au fond de votre pâte avec une fourchette. Même si normalement on ne fait les petits trous que pour éviter que la pâte feuilletée ne monte, on le fera quand même pour cette pâte brisée. Déjà, parce que tout le monde aime faire des petits trous à la fourchette, et que comme je le fais automatiquement, je ne peux pas vous garantir que votre tarte n’explosera pas dans votre four si vous ne le faites pas.//Lavez et découpez vos mirabelles en deux (mais pas tout à fait) pour enlever le noyau et garder les deux moitiés encore un peu attachées pour mieux les disposer sur la tarte.//Pas besoin d’appareil (ou de migaine comme on dit chez moi) : la tarte à la mirabelle, c’est meilleur quand c’est tout simple.//Laissez votre tarte 30 à 40 minutes dans votre four préchauffé à 200°C. Surveillez tout de même votre tarte ; lorsque la pâte est dorée et les mirabelles semblent cuites, c’est prêt !",https://www.cuisine-libre.org/tarte-aux-mirabelles,https://www.cuisine-libre.org/local/cache-gd2/ee/6a2d567c7cfef0a8d56f31a3934901.jpg?1644797927,farine sucre huile mirabelle eau,huil mirabel eau farin sucr
Quatre-quarts,4 œufs//200 g de farine T55//200 g de sucre en poudre//200 g de beurre doux//5 g de levure chimique (½ sachet)//arôme vanille (facultatif),20 min,40 min,,"Préchauffez le four à 180°C.//Enfournez 10 minutes à 180°C, puis baissez la température du four à 145°C pour 30 minutes. Le choc thermique va permettre au quatre-quart de bien monter, puis la cuisson lente va lui donner tout son moelleux et sa densité.//Laissez-le totalement refroidir à température ambiante avant de déguster. Vous pouvez le préparer la veille pour le lendemain. Quand il est froid, démoulez-le.",https://www.cuisine-libre.org/quatre-quarts,https://www.cuisine-libre.org/local/cache-gd2/77/2b485cb9e9f08b926984501cc5a31b.jpg?1644795460,½ farine œuf levure sachet chimique sucre t doux vanille arôme poudre beurre facultatif,poudr facultatif levur sachet oeuf chimiqu t doux beurr vanil arom farin sucr
Muffins au cœur de pâte pralinée et aux pépites (...),50 g de beurre salé fondu//40 g de sucre//2 œufs//100 g de farine de blé ou de riz//1 sachet de levure chimique//1 tablette de chocolat noir (100 g) (facultatif)//quelques cuillerées de pâte à tartiner au chocolat praliné,10 min,20 min,,"Préchauffer le four à 180°C.//Mélanger les ingrédients secs d’un côté (farine, sucre, levure) et les ingrédients liquide de l’autre (œufs, beurre).//Concasser le chocolat en tout petits morceaux pour faire des pépites. Les ajouter aux ingrédients liquides.//Incorporer délicatement le mélange liquide au mélange sec sans trop mélanger, sinon les muffins ne gonfleront pas.//Remplir les moules au tiers. Déposer une petite cuillère de pâte à tartiner puis recouvrir d’un peu de pâte.//Enfourner et cuire 20-25 min.",https://www.cuisine-libre.org/muffins-au-coeur-de-pate-a-tartiner-et-aux,https://www.cuisine-libre.org/local/cache-gd2/d9/a1c550a0385c319d6a09aac8f2c05c.jpg?1644795209,sachet œuf salé praliné riz pâte tablette beurre chocolat noir tartiner sucre cuillerée quelque blé farine facultatif levure chimique,sachet chimiqu ble pralin pate sale levur oeuf riz tartin farin chocolat quelqu noir tablett facultatif cuillere beurr sucr
Gâteau des champs aux abricots moelleux,1¼ tasse (300 ml) d’eau bouillante//1 tasse d’avoine//1¼ tasse de farine de blé entier tout usage//1 c. à café de levure chimique//1 c. à café de bicarbonate de soude//½ c. à café de sel//½ c. à café de muscade moulue//½ tasse de beurre//1½ tasse de cassonade//2 œufs//¾ tasse d’abricots séchés hachés//3 c. à soupe de beurre//½ tasse de cassonade//3 c. à soupe de crème légère//1 tasse de noix de coco râpée//½ tasse de noix de Grenoble hachées grossièrement,30 min,40 min,,"Verser l’eau bouillante sur l’avoine, remuer vigoureusement et réserver. Mélangez dans une jatte la farine, la levure, le bicarbonate, le sel et la muscade. Dans un autre bol, mélangez le beurre, les œufs et la cassonade jusqu’à obtention d’une pâte lisse et blanchie. Ajoutez peu à peu la préparation sèche, puis l’avoine refroidie et les abricots.//Une fois la préparation bien mélangée, l’étendre sur un moule carré de 23 cm. Faire cuire 35 min à 180°C.//Pendant que le gâteau cuit, faites fondre le beurre dans une petite casserole et ajoutez la cassonade, la crème, la noix de coco et les noix. Répartissez la garniture sur la pâte encore tiède et faire griller au four, environ 5 min, le temps que le gâteau dore. Laissez refroidir et servez avec une boule de glace vanille.",https://www.cuisine-libre.org/gateau-des-champs-aux-abricots-moelleux,https://www.cuisine-libre.org/local/cache-gd2/eb/577bae1c3b24759c4a7c9b07b30926.jpg?1644802780,grossièrement ¼ crème moulue noix hachée eau cassonade bouillante œuf séché beurre café ¾ râpée entier légère abricot haché blé muscade sel ½ bicarbonate farine avoine levure chimique coco grenoble tasse,noix chimiqu ble leger hach eau muscad hache creme levur rape oeuf bicarbon tas farin cafe entier moulu grossier sel avoin cassonad coco grenobl bouillant beurr abricot sech
Tresse aux pommes et aux noix,1½ tasse de cidre de pommes//2 paquets de levure//¼ tasse de miel//2 œufs//½ tasse d’huile d’olive//½ bouteille d’extrait de noix//2 c. soupe de cannelle//2 c. soupe de noix de muscade//½ c. café de fleur de muscade (macis)//½ c. café de poivre de la Jamaïque//1 c. café de sel//3 tasses de farine//3 tasses de farine de blé entier//500 g de compote de pomme//¾ tasse de noix finement hachées,20 min,50 min,2 h,"Délayer la levure dans la tasse de cidre.//Mélanger les ingrédients secs avec l’huile d’olive et l’essence de noix. Ajouter la compote, les noix, les œufs, le miel et le mélange de levure. Pétrir en ajoutant de la farine si nécessaire, pour que la pâte soit plutôt sèche.//Couvrir et laisser reposer jusqu’à ce que la pâte double de volume, environ 1 heure et demie.//Aplatir et diviser la pâte en trois boudins allongés mais épais. Tresser les boudins ensemble, en commençant par le milieu et en repliant les bouts pour qu’ils se touchent.//Couvrir et laisser lever 30 à 45 minutes.//Faire cuire 45 à 50 minutes au four à 175°C/350°F.",https://www.cuisine-libre.org/tresse-aux-pommes-et-aux-noix,https://www.cuisine-libre.org/local/cache-gd2/c4/3cd798135e6fcd8bc5b8364a7d1efb.jpg?1644795946,paquet ¼ noix huile hachée cidre œuf finement café maci fleur compote ¾ pomme cannelle entier pomme blé muscade sel ½ bouteille olive poivre farine levure jamaïque tasse miel,noix ble muscad hache levur oeuf finement bouteil jamaiqu cannel tas cafe farin pomm oliv fleur maci entier sel cidr compot poivr huil paquet miel
Tarte aux coings,"150 g de farine ordinaire//50 g de sucre en poudre//10 cl d’huile d’olive//10 cl de vin blanc doux//1,5 kg de coings//2 citrons//1 bâton de cannelle//4 clous de girofle//800 g de sucre semoule",30 min,50 min,,"Verser le sucre dans une terrine. Ajouter l’huile d’olive et le vin blanc, mélanger, puis incorporer la farine et pétrir la pâte jusqu’à ce qu’elle soit souple et homogène. La mettre dans le réfrigérateur, roulée en boule, pendant 30 minutes. Pendant ce temps, peler 800g de coings et les couper en petits dés dans une casserole. Ajouter le jus d’un citron, 40cl d’eau, la cannelle et les clous de girofle. Faire chauffer en remuant, puis ajouter la moitié du sucre semoule et faire cuire doucement pendant 30 bonnes minutes jusqu’à ce que le mélange ait la consistance de confiture.//Pendant ce temps, abaisser la pâte sur le plan de travail fariné, sur une épaisseur de 4mm environ. En garnir un moule de 24cm de diamètre et faire cuire ce fond de tarte à blanc (après avoir versé une couche de haricots secs dessus), pendant une douzaine de minutes. Le sortir du four, retirer les haricots et laisser refroidir.//Mettre le reste des coings pelés et coupés en lamelles dans une autre casserole avec le sucre restant et le jus du second citron. Couvrir d’eau froide et faire mijoter à découvert pendant 30 minutes. Étaler la confiture de coing en une couche régulière sur le fond de tarte cuit à blanc, après avoir retiré la cannelle et les clous de girofle. Égoutter les lamelles de coing dans une passoire et en garnir le dessus de la tarte. Saupoudrer avec un peu de sucre et faire cuire dans le four, sous le gril, de 4 à 5 minutes. Servir tiède.",https://www.cuisine-libre.org/tarte-aux-coings,https://www.cuisine-libre.org/local/cache-gd2/59/bb64bed30affa0224b4ce4eab87b76.jpg?1644794223,citron olive ordinaire farine vin bâton girofle blanc sucre doux cannelle clou huile coing poudre semoule,citron poudr oliv vin blanc doux co huil clou girofl semoul ordinair cannel baton farin sucr
Mini cakes pommes noix cannelle,3 pommes plutôt tendres//150 g de beurre fondu//125 g de sucre blond//300 g de farine T65 blanche ou semi-complète//75 g de cerneaux de noix réduits en poudre//2 œufs//2 cc de levure chimique//1 à 2 cc de cannelle//1 sachet de sucre vanillé,25 min,50 min,,"Faire revenir les pommes en lamelles dans une poêle avec 3 noisettes de beurre et le sucre vanillé, à feu moyen, environ 10-15 minutes.//En parallèle, préparer la pâte ://Répartir la pâte dans 8 à 10 tours de pâtisserie, de façon à ce que la pâte ne dépasse pas la moitié de la hauteur du tour. Y disposer les lamelles de pommes en cercle. Soignez la disposition des lamelles en les plaçant en « hélice » et n’hésitez pas à « charger » : le rendu final est très appétissant :)//Cuire à 180°C au four, environ 50 minutes (pour un four à chaleur tournante). Les gâteaux sont cuits lorsqu’on peut glisser un couteau dedans et le ressortir sans pâte collée, quasi sec. Démouler en étant attentif à ne pas se brûler.//Ces gâteaux se conservent à température ambiante environ 24h, au delà ils ont tendance à sécher.",https://www.cuisine-libre.org/mini-cakes-pommes-noix-cannelle,https://www.cuisine-libre.org/local/cache-gd2/71/6e3d737dcef828fdff9e647431f8da.jpg?1644801132,noix sachet blanche œuf blond beurre semi plutôt pomme sucre t cannelle réduit vanillé farine levure chimique tendre cerneaux complète poudre,noix sachet chimiqu complet levur oeuf blond semi cannel vanil farin pomm reduit t blanch poudr tendr plutot beurr cerneaux sucr
Gâteau à la crème fraiche et son streusel (...),Pour le gâteau//390 g de farine//280 g de sucre de canne blond//4 œufs//180 g de beurre//250 g de crème fraiche//2 cc de fleurs de sel de Guérande//1/2 cc d’extrait de vanille//2 cc de poudre à lever//1/2 cc de bicarbonate de soude//Pour le streusel//60 g de farine//40 g de sucre de canne blond//40 g de beurre//100 g d’amande et de noisettes hachées//2 cc de cannelle moulue,15 min,55 min,,"Casser et hacher les amandes et les noisettes. Réserver.//Préchauffer le four à 180°C.//Mélanger la farine, le bicarbonate, la poudre à lever, la fleur de sel et l’extrait de vanille. Réserver.//Faire fondre le beurre et le mélanger au sucre jusqu’à ce que le mélange jaunisse. Ajouter les œufs un à un. Y ajouter le mélange farine-bicarbonate-poudre à lever en alternant avec la crème fraiche.//Faire le streusel de la même façon qu’un crumble en émiettant tous les ingrédients.//Verser la moitié de la pâte dans le moule et recouvrir de la moitié du streusel. Recouvrir avec l’autre moitié de pâte, étaler puis recouvrir de l’autre moitié de streusel.//Enfourner et cuire 55 min à 180°C.Attendre 30 min avant de démouler.",https://www.cuisine-libre.org/gateau-a-la-creme-fraiche-et-son-streusel-noisettes,https://www.cuisine-libre.org/local/cache-gd2/53/3568ddcef5146660a91b2f2073be77.jpg?1644796900,crème moulue lever hachée amande œuf streusel blond gâteau beurre noisette vanille sucre cannelle fraiche sel guérande canne bicarbonate farine fleur poudre,lever hache creme guerand oeuf streusel noisett blond bicarbon cann vanil cannel fraich farin fleur moulu sel poudr gateau beurr amand sucr
Pâté aux prunes angevin,"125 g d’eau//500 g de farine//100 g de sucre//250 g de beurre//1 œuf entier//1 pincée de sel//1,5 kg de prunes Reine-Claude",20 min,40 min,1 h,"Préparez la pâte en mélangeant la farine, le sucre, le beurre, l’œuf, le sel et l’eau. Laissez-la reposer dans un endroit frais.//Beurrez un moule à tarte. Étendez une bonne moitié de la pâte au rouleau et garnissez le moule en laissant dépasser du bord 1-2 cm de pâte. Saupoudrez de sucre. Disposez dessus les prunes en omettant celle du centre.//Avec le reste de la pâte, confectionnez le dessus du pâté. Posez la pâte en couvercle en fermant les bords avec le dessous. Badigeonnez à l’œuf. Faites une ouverture au centre pour faire une cheminée avec du papier sulfurisé. Mettez à cuire à four chaud (180°C) pendant 35-40 mn.",https://www.cuisine-libre.org/pate-aux-prunes-angevin,https://www.cuisine-libre.org/local/cache-gd2/ca/aacc86d7f96b52e566215f98ee50d9.jpg?1644795954,œuf prune reine farine sucre entier claude eau beurre sel,claud prune oeuf rein entier beurr sel eau farin sucr
Mini galettes des rois à la confiture,2 pâtes feuilletées//140 g de poudre d’amandes//4 cuillères à soupe de confiture myrtilles-cassis//80 g de sucre fin//2 œufs//75 g de beurre mou//1 jaune d’œuf//fèves,30 min,25 min,,"À l’aide d’un emporte-pièce (diamètre 12 cm), découper 12 fonds dans la pâte feuilletée, les piquer avec une fourchette.//Dans un saladier, mélanger la poudre d’amandes, la confiture myrtilles-cassis, le sucre, les 2 œufs et le beurre mou. Verser la préparation obtenue sur les fonds et y cacher les fèves. Badigeonner les contours d’œuf.//Refermer la galette avec une deuxième pâte feuilletée. Humidifier les deux bords des pâtes feuilletées afin de les maintenir fermées.//À l’aide d’une pointe de couteau, procéder au rayage supérieur et badigeonner avec le jaune d’œuf.//Enfourner pendant 20 à 30 min à 200°C (thermostat 6-7).",https://www.cuisine-libre.org/galettes-des-rois-confiture-myrtilles-cassis,https://www.cuisine-libre.org/local/cache-gd2/0a/73bddb95d7539522ae58744f49b312.jpg?1644803820,pâte feuilletée œuf œuf sucre cuillère fève amande confiture myrtille poudre beurre cassi jaune,poudr cuiller cassi myrtil oeuf feve beurr jaun feuillete pate confitur amand sucr
Financiers à l’orge et à l’épeautre,4 blancs d’œufs//70 g de sucre glace//100 g de malt d’orge//100 g de poudre d’amandes//140 g de beurre noisette//60 g de farine d’épeautre,10 min,15 min,,"Mélanger ensemble la farine, la poudre d’amandes, le sucre glace. Ajouter le malt d’orge.Faire mousser les blancs d’œufs et les incorporer au mélange précédent.Ajouter le beurre noisette et rendre le tout homogène.//Verser la préparation dans un moule à manquer et enfourner 15 minutes à 180°C.",https://www.cuisine-libre.org/financiers-a-l-orge-et-a-l-epeautre,https://www.cuisine-libre.org/local/cache-gd2/31/6d948f53de414a98387a5f0e5d7158.jpg?1644794790,malt farine glace œuf orge blanc sucre épeautre amande poudre beurre noisette,epeautr poudr malt org glace blanc oeuf noisett beurr farin amand sucr
Tarte sablée bretonne aux fraises,1 kg de fraises//155 g de farine//125 g de beurre demi-sel mou//100 g de sucre//4 jaunes d’oeuf//1/2 sachet de levure chimique//le zeste d’une orange//60 g de sucre//15 g de fécule de maïs//1/2 de litre de lait//1 œuf entier//1 cuillère a soupe d’eau de fleur d’oranger,30 min,20 min,1 h,"Dans une jatte, mélanger le beurre, le sucre, la farine, la levure et les zestes. On obtient une pâte comme le crumble, très sableuse. Ajouter alors les jaunes d’œuf.//Sur une plaque à tarte chemisée de papier sulfurisé et un cercle, arranger la pâte à la main et laisser reposer une heure.//Faire chauffer le four à 200°C (thermostat 6-7). Une fois que la pâte a reposé, la faire cuire 10 à 12 minutes. À la sortie du four, quand la pâte est encore chaude, aplatir légèrement l’intérieur en laissant un petit bord : cela facilitera la mise en place de la crème et des fraises.//Dans une casserole, fouetter l’œuf et le sucre. Ajouter la fécule. Verser délicatement le lait en fouettant toujours pour éviter les grumeaux et parfumer avec l’eau de fleur d’oranger. Mettre la casserole sur feu moyen et attendre que cela épaississe en tournant délicatement.//Pour le montage : laver et équeuter les fraises. Étaler la crème sur le sablé. Couper les fraises en deux et les disposer à plat sur la crème. Déguster.",https://www.cuisine-libre.org/tarte-sablee-bretonne-aux-fraises,https://www.cuisine-libre.org/local/cache-gd2/bc/a97087e9efb67037106f93192467b1.jpg?1644794726,fécule sachet demi zeste eau oranger œuf oeuf orange jaune beurre fleur sucre entier lait sel farine fraise levure chimique maï cuillère,sachet demi chimiqu jaun eau levur oeuf fecul farin frai cuiller fleur mai entier lait zest sel beurr orang sucr
Tarte à la rhubarbe,"300 g de rhubarbe (ou plus, ou moins), de quoi recouvrir le fond de tarte//250 g de pâte « ultra rapide » (ou de pâte brisée ou sablée)//vergeoise blonde, de préférence belge, plus parfumée. Éviter la cassonade, dont les cristaux sont trop durs.",10 min,20 min,10 min,"Faire la pâte ultra rapide, et foncer un moule à tarte.//Éplucher les bâtons de rhubarbe, en prenant bien soin de bien enlever les longs fils ; et les découper en tronçons de 0,5 à 1 cm d’épaisseur. Lors de la découpe, s’il reste des fils « qui ne se coupent pas », les enlever au passage.//Recouvrir le fond de tarte, non précuit, avec les tronçons de rhubarbe.Saupoudrer de vergeoise (blonde, de préférence belge).//Laisser cuire au four, thermostat 220°C, pendant… 15 à 30 min, le temps que les bords soient dorés.//Sortir la tarte, si c’est bien une « pâte ultra rapide » qui a été utilisée, les bords vont se rétracter en refroidissant, et la tarte sera très simple à démouler. L’intérêt de cette pâte, est la « biscuification » du fond de tarte, qui permet une grande rigidité des parts, à la découpe.",https://www.cuisine-libre.org/tarte-a-la-rhubarbe,https://www.cuisine-libre.org/local/cache-gd2/45/d7aa53279c223526edd0112023343d.jpg?1644794212,éviter rhubarbe fond dont cassonade recouvrir quoi plu cristaux pâte dur blonde trop parfumée belge ultra vergeoise tarte moin brisée préférence sablée,prefer fond pate belg dont recouvrir quoi cristaux blond dur moin parfume trop evit rhubarb ultra cassonad brise sable tart plu vergeoi
Galette des rois aux cerises amarena,2 cercles de pâte feuilletée pré-étalée//2 œufs entiers//125 g de poudre d’amandes//90 g de sucre semoule//100 g de beurre mou//1 jaune d’œuf délayé avec quelques gouttes d’eau//sucre glace//200 g de cerises amarena//1 fève,30 min,30 min,30 min,"Préchauffer le four à 180°C - Th 6.//Préparer la crème d’amandes. Battre au fouet ou mixer tous les ingrédients de la crème d’amandes jusqu’à ce que le mélange blanchisse et devienne bien lisse.////Poser 1 rond de pâte feuilletée sur un papier sulfurisé sur la plaque de votre four. Répartir la crème d’amandes en laissant un bord de 2 cm.//Disposer les cerises égouttées sur la crème. Glisser la fève.//Badigeonner avec 1 pinceau imbibé d’eau le pourtour de 2 cm de la galette. Poser délicatement la deuxième abaisse par-dessus afin qu’elle vienne recouvrir la crème et les fruits.////Appuyer sur le pourtour afin de bien souder les 2 abaisses. « Cranter » le tour de la galette avec le côté non tranchant d’un petit couteau.//Préparer la dorure en délayant le jaune d’œuf avec quelques gouttes d’eau. Dorer la surface avec le jaune d’œuf puis la réserver 25 min au réfrigérateur. En refroidissant, la pâte durcira et sera plus facile à décorer.////La dorer au jaune d’œuf une seconde fois puis, avec le dos d’un couteau, former une rosace ou de jolies rayures ou toute autre décoration selon l’inspiration du jour et les dons artistiques de chacun… Prendre soin de ne pas fendre la pâte !//Faire cuire au four ± 30 min.//À la sortie du four, saupoudrer la galette de sucre glace et la glisser 2 min supplémentaires sous le gril du four afin de « glacer » la surface.//Servir la galette tiède, accompagnée de quelques cerises amarena.",https://www.cuisine-libre.org/galette-des-rois-aux-cerises-amarena,https://www.cuisine-libre.org/local/cache-gd2/12/7a910fb74f41180def5c4b1a7121f4.jpg?1644795892,fève étalée entier eau semoule œuf œuf glace amande pâte beurre cercle cerise sucre quelque délayé jaune pré amarena feuilletée poudre goutte,jaun eau pate glace ceri oeuf semoul quelqu pre cer entier etale feve feuillete poudr delay amarena goutt beurr amand sucr
Galette à la confiture de lait,600 g de pâte feuilletée (2 pains de 300 g à étaler)//1/2 pot de confiture de lait//1 œuf//1 cuillère ä soupe de sucre en grains,30 min,30 min,30 min,"Abaisser les pâtes feuilletées en 2 disques de 30 cm de Ø, et les réserver 30 min au réfrigérateur.//Préchauffer le four : Th 7 - 210°C.//Sortir les disques de pâte du réfrigérateur.//En déposer un sur la tôle du four légèrement humidifiée ou tapissée d’une feuille de papier sulfurisé.//Garnir l‘abaisse avec la confiture de lait jusqu‘ä 3 cm du bord. Placer la fève.//Bien mouiller le pourtour sans confiture avec un pinceau, et recouvrir avec la seconde abaisse.//Appuyer avec une fourchette afin de bien souder les 2 abaisses tout en guillochant la bordure.//Bien faire adhérer l’abaisse du dessous et celle du dessus, car en chauffant, la confiture de lait devient liquide !//Dessiner des motifs « artistiquement » sur la galette avec les dents d’une fourchette.//Enfourner à mi hauteur, et laisser cuire la galette 20 min, puis dorer toute sa surface à l’œuf battu.//Saupoudrer de sucre en grains, puis remettre la galette au four en baissant la température : Th 6 - 180°C, pendant 10 min.//Faire glisser la galette sur une grille à pâtisserie, juste au sortir du four, et laisser refroidir complètement.",https://www.cuisine-libre.org/galette-a-la-confiture-de-lait,https://www.cuisine-libre.org/local/cache-gd2/45/7029952d907efbb0506c4677cbf0ae.jpg?1644795955,pain œuf grain sucre feuilletée lait confiture étaler pâte ä cuillère,pain grain cuiller a oeuf lait feuillete etal pate confitur sucr
Gâteau au thé vert et aux noix,150 g de beurre//100 g de sucre//3 œufs//150 g de farine//1 sachet de levure//1 c. à soupe de matcha (thé vert en poudre)//70 g de noix,25 min,40 min,,"Préchauffez le four à 180°C.//Dans une casserole sur feu très doux, laissez mollir le beurre lentement. Ôtez du feu. Ajoutez le sucre et fouettez jusqu’à obtenir un mélange crémeux. Incorporez les jaunes d’œuf un à un, en fouettant.//Battez les blancs en neige. Incorporez-les délicatement.//Dans un grand bol, tamisez ensemble la farine avec la poudre de thé vert et la levure. Hachez les noix finement et ajoutez-les. Mélangez.//Rassemblez les deux préparations en les mélangeant avec douceur. Versez la pâte dans un moule à cake. Enfournez et laissez cuire 30 à 40 minutes.",https://www.cuisine-libre.org/gateau-au-the-vert-et-aux-noix,https://www.cuisine-libre.org/local/cache-gd2/08/f224795519e460a9719e01eb637fd8.jpg?1644794969,farine œuf levure sachet noix sucre thé matcha vert poudre beurre,the poudr levur noix sachet oeuf beurr matcha vert farin sucr
